Identifiant;Statut;Motif du refus;Domaine;Activité;Commune;Rue;Type d'ouvrage;Code ouvrage;Num. DI;Ordre de travail;Programme;Créé le;Entreprise;Date Intervention;Intervenant;Observation;Durée Intervention;obs_clean;remplacement_fusible;remplacement_ampoule;remplacement_driver;remplacement_boite_derivation;remplacement_driver_et_connexions;pose_lanterne_provisoire;separation_phases_cablage;plateau_led_hs;reenclenchement_disjoncteur;reprise_raccordement;refection_connexions;resume_ia
44909303;A valider;;Eclairage public;Curatif Armoire;QUIMPER;ROUTE DE KEROGAN;Armoire;424;12643.0;;;19/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement d'horloge de commande. Horaires 23h - 6h . Essais ok;16:39;changement d'horloge de commande. horaires 23h - 6h . essais ok;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909301;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;AVENUE DE TI PONT;Luminaire;K2095;12657.0;;;18/11/2025;CITEOS QUIMPER;2025-11-18;CITEOS_EQUIPE 2;Essais de fonctionnement pendant 15 minutes ras;0:15;essais de fonctionnement pendant 15 minutes ras;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909299;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;;Luminaire;X:171701.6347816 Y: 6788459.7507393;;;;18/11/2025;CITEOS QUIMPER;2025-11-18;CITEOS_EQUIPE 1;;0:30;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909297;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE LA PRAIRIE;Luminaire;P1468_1;12659.0;;;18/11/2025;CITEOS QUIMPER;2025-11-18;CITEOS_EQUIPE 2;Essais de fonctionnement  pendant 15 minutes ras;0:15;essais de fonctionnement  pendant 15 minutes ras;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909295;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE LA PRAIRIE;Luminaire;P1468_1;12659.0;;;18/11/2025;CITEOS QUIMPER;2025-11-18;CITEOS_EQUIPE 2;Essais de fonctionnement  15 minutes ras;0:15;essais de fonctionnement  15 minutes ras;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909293;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE SAINT POL ROUX;Luminaire;E2069_1;12653.0;;;18/11/2025;CITEOS QUIMPER;2025-11-18;CITEOS_EQUIPE 2;Essais de fonctionnement pendant 15 minutes ras;0:15;essais de fonctionnement pendant 15 minutes ras;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909291;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE SAINT POL ROUX;Luminaire;E2072_1;12655.0;;;18/11/2025;CITEOS QUIMPER;2025-11-18;CITEOS_EQUIPE 2;Essais de fonctionnement pdt 15 minutes ras;0:15;essais de fonctionnement pdt 15 minutes ras;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909289;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE TAHITI;Luminaire;E1501_1;12645.0;;;18/11/2025;CITEOS QUIMPER;2025-11-18;CITEOS_EQUIPE 1;Pose ballast ferro amorceur lampe;1:00;pose ballast ferro amorceur lampe;non;oui;oui;non;non;non;non;non;non;non;non;remplacement ampoule, remplacement driver
44909287;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;ROUTE DE PLOMELIN;Luminaire;P127_1;;476.0;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Ls de câble d'alimentation réseau.....câble accroché ???;0:45;ls de câble d'alimentation réseau.....câble accroché ???;non;non;non;non;non;non;oui;non;non;non;non;separation phases cablage
44909285;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;AVENUE PIERRE MENDES-FRANCE;Luminaire;P165_1;;476.0;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de lampe 150w  shp .Essais ok.;0:45;changement de lampe 150w  shp .essais ok.;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
